Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,1,Not Graduate,No,141958,50132,226,480,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,35795,35743,316,300,1,Rural,N
Male,Yes,2,Graduate,No,20860,6102,390,240,1,Urban,Y
Female,Yes,3+,Not Graduate,Yes,123694,50336,331,180,1,Rural,Y
Male,Yes,1,Graduate,No,148106,52479,112,300,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,139879,19778,266,300,1,Urban,Y
Female,Yes,2,Graduate,No,130268,57471,391,240,0,Urban,N
Female,Yes,0,Graduate,No,96820,26641,364,180,1,Semiurban,Y
Male,No,0,Graduate,No,74886,34584,332,180,1,Semiurban,Y
Male,No,2,Graduate,No,26265,32745,226,480,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,102386,55006,466,300,1,Semiurban,Y
Female,Yes,3+,Graduate,No,148214,23093,147,180,1,Semiurban,Y
Female,No,2,Not Graduate,No,57194,569,154,180,1,Urban,Y
Male,Yes,3+,Graduate,No,107498,38210,148,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,132727,34663,434,360,0,Urban,N
Male,No,0,Graduate,No,146324,51885,454,180,1,Urban,Y
Female,Yes,3+,Not Graduate,No,64131,36631,360,480,1,Semiurban,Y
Female,Yes,1,Graduate,No,80263,45681,55,180,0,Semiurban,Y
Female,No,0,Not Graduate,No,36023,7455,246,240,1,Urban,Y
Male,Yes,3+,Not Graduate,No,61090,4014,400,300,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,87221,11093,182,480,1,Semiurban,Y
Female,No,1,Not Graduate,No,84820,18070,407,240,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Yes,20769,35777,308,480,1,Rural,N
Female,No,2,Not Graduate,No,79735,56958,486,240,0,Urban,N
Male,Yes,1,Not Graduate,No,82955,16538,72,300,1,Rural,Y
Male,Yes,0,Not Graduate,No,84925,10729,102,300,1,Semiurban,Y
Male,No,0,Not Graduate,No,141637,34177,214,360,0,Rural,N
Female,No,2,Graduate,No,87969,45017,251,240,1,Semiurban,Y
Male,Yes,0,Graduate,No,25311,784,132,360,1,Rural,Y
Male,No,3+,Graduate,No,123355,27751,194,240,1,Semiurban,Y
Female,No,3+,Graduate,Yes,124724,40864,134,360,1,Rural,Y
Female,Yes,2,Graduate,Yes,103104,40328,127,300,1,Rural,Y
Female,Yes,0,Not Graduate,No,73707,12533,415,480,1,Rural,Y
Female,Yes,0,Not Graduate,No,105305,40111,50,360,1,Urban,Y
Male,No,2,Not Graduate,No,48693,39974,100,240,1,Rural,Y
Male,No,1,Not Graduate,No,91932,54748,222,240,1,Urban,Y
Male,No,0,Not Graduate,No,147723,5801,254,300,1,Semiurban,Y
Male,No,1,Not Graduate,No,113016,19190,309,240,0,Rural,N
Male,Yes,0,Not Graduate,No,126970,49689,495,180,0,Semiurban,N
Female,No,0,Graduate,No,45658,38754,498,480,1,Semiurban,N
Male,Yes,0,Graduate,Yes,104478,50993,418,360,1,Rural,Y
Male,No,0,Graduate,No,142537,29592,337,480,1,Urban,Y
Male,Yes,3+,Graduate,No,38431,10647,83,300,1,Rural,Y
Female,Yes,1,Not Graduate,No,22747,8716,397,360,1,Semiurban,N
Female,Yes,1,Not Graduate,No,143855,23355,144,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,79150,22009,121,180,0,Rural,N
Female,Yes,0,Graduate,No,85725,52102,88,300,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,149981,24376,203,240,0,Urban,N
Female,No,3+,Not Graduate,Yes,104654,45091,299,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,55773,4780,211,180,0,Semiurban,N
Female,No,2,Graduate,No,139346,2368,487,480,1,Urban,Y
Female,No,1,Not Graduate,No,87435,12039,167,480,0,Rural,N
Female,Yes,0,Graduate,Yes,76886,6655,308,480,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,86803,40941,428,180,1,Urban,Y
Male,No,3+,Graduate,No,51551,4495,355,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,136216,10893,317,360,0,Rural,N
Male,No,3+,Not Graduate,No,31394,25547,498,480,1,Urban,N
Male,No,2,Graduate,No,89092,22386,103,240,1,Semiurban,Y
Female,No,1,Graduate,No,23890,55766,285,300,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,61606,58510,438,480,1,Semiurban,Y
Female,No,3+,Not Graduate,No,116276,13403,271,360,1,Rural,Y
Female,Yes,3+,Graduate,Yes,145768,32097,300,300,0,Rural,N
Female,Yes,3+,Not Graduate,No,100038,13121,362,300,1,Urban,Y
Male,Yes,1,Graduate,No,107313,55071,450,360,1,Rural,Y
Male,Yes,2,Graduate,No,30627,10966,161,480,0,Semiurban,N
Male,No,2,Graduate,No,28792,59326,304,180,1,Rural,Y
Male,Yes,3+,Graduate,No,128859,33621,352,360,1,Rural,Y
Female,No,2,Not Graduate,No,128557,53298,456,360,1,Urban,Y
Female,No,0,Graduate,No,93969,28312,256,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,63001,52921,278,300,1,Rural,Y
Female,No,0,Not Graduate,No,96552,49726,390,240,1,Semiurban,Y
